"channel","position","title","url","video_id","publication","duration","transcript_status","transcript_file","timestamp_status","timestamp_file"
"Joanne Toller - Fundraising Coach","1","The Biggest Fundraising Opportunity During a Bad Economy","https://www.youtube.com/watch?v=mMlYgNvOiWU","mMlYgNvOiWU","2026-09-02T09:00:06-07:00","PT12M16S","retrieved","transcripts/cause-specialist/01-mMlYgNvOiWU.md","official caption timestamps available","official-captions/mMlYgNvOiWU.en-orig.vtt"
"Joanne Toller - Fundraising Coach","2","Before a Funder Gives You Money, They Check THIS","https://www.youtube.com/watch?v=NVJyUFfRQtM","NVJyUFfRQtM","2026-08-26T09:15:37-07:00","PT12M8S","retrieved","transcripts/cause-specialist/02-NVJyUFfRQtM.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","3","Your First Major Donor Is Closer Than You Think","https://www.youtube.com/watch?v=N5qxCeEymDE","N5qxCeEymDE","2026-08-12T16:59:47-07:00","PT14M19S","retrieved","transcripts/cause-specialist/03-N5qxCeEymDE.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","4","How Claude Cut Grant Writing From 30 Hours to 4","https://www.youtube.com/watch?v=CJB7W7XcD3c","CJB7W7XcD3c","2026-08-05T09:15:39-07:00","PT9M3S","retrieved","transcripts/cause-specialist/04-CJB7W7XcD3c.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","5","These 5 Fundraising Materials Are All You Need","https://www.youtube.com/watch?v=TSxNCtQ9pbU","TSxNCtQ9pbU","2026-07-29T09:15:28-07:00","PT7M24S","retrieved","transcripts/cause-specialist/05-TSxNCtQ9pbU.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","6","Most Small Nonprofits Are Looking in the Wrong Place","https://www.youtube.com/watch?v=iJgi48rlgNA","iJgi48rlgNA","2026-07-22T09:15:05-07:00","PT9M22S","retrieved","transcripts/cause-specialist/06-iJgi48rlgNA.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","7","The 4 Skills That Raise More Money for Your Nonprofit","https://www.youtube.com/watch?v=pnEA7OIhKiM","pnEA7OIhKiM","2026-07-15T08:45:21-07:00","PT8M10S","retrieved","transcripts/cause-specialist/07-pnEA7OIhKiM.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","8","The Real Reason Donors Don't Give (10 Fundraising Mistakes to Fix Today)","https://www.youtube.com/watch?v=lCbS9WGy5sk","lCbS9WGy5sk","2026-07-08T09:15:03-07:00","PT6M42S","retrieved","transcripts/cause-specialist/08-lCbS9WGy5sk.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","9","Before You Use ChatGPT for Fundraising, Watch This","https://www.youtube.com/watch?v=H4sRioiq3sY","H4sRioiq3sY","2026-07-01T09:00:01-07:00","PT8M27S","retrieved","transcripts/cause-specialist/09-H4sRioiq3sY.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","10","You're Looking for Donors in the Wrong Place","https://www.youtube.com/watch?v=YwcNARhitp4","YwcNARhitp4","2026-06-24T09:15:01-07:00","PT8M39S","retrieved","transcripts/cause-specialist/10-YwcNARhitp4.md","timestamps unavailable; no timestamps inferred",""
"Joanne Toller - Fundraising Coach","11","Why Most New Nonprofits Fail at Fundraising","https://www.youtube.com/watch?v=RWzH5Yo8OXY","RWzH5Yo8OXY","2026-06-17T09:15:34-07:00","PT5M59S","retrieved","transcripts/cause-specialist/11-RWzH5Yo8OXY.md","timestamps unavailable; no timestamps inferred",""
